Convocatoria anterior,Código de curso,Curso,Objetivos,Contenidos,Requisitos,Etiquetas,Libros,Moodle_url,Portada,Horas,Descripción,Convocatoria,Curso Escolar,1.1,1.2,1.3,1.4,1.5,2.1,2.2,2.3,3.1,3.2,3.3,3.4,4.1,4.2,4.3,5.1,5.2,5.3,6.1,6.2,6.3,6.4,6.5
False,,EL PROCEDIMIENTO ADMINISTRATIVO - IE,"Dar respuesta formativa on line al módulo 4 del itinerario formativo común para COFOs y Asesorías de la red de formación. 
Facilitar la obtención para el profesorado de conocimientos básicos en relación con los derechos que le asisten como profesional y como ciudadan@ en su relación con las Administraciones Públicas. 
",Introducción: marco normativo. Novedades: la e-administración. La relación entre la Administración y la ciudadanía: derechos del ciudadan@. El procedimiento: inicio- tramitación- finalización. La notificación de actos y resoluciones administrativas. La notificación electrónica. Otras cuestiones: silencio administrativo- nulidad y anulabilidad- revisión de oficio- revocación y rectificación. Los recursos en la vía administrativa. Esta actividad se considera equivalente al módulo 4 del bloque común de los itinerarios para asesor de la red de formación del profesorado y para el de coordinador de formación en centros educativos. Resolución 19/1/2017 itinerarios formativos de asesores de formación de profesorado no universitario y coordinadores de formación de centros educativos. Módulo 4. El procedimiento administrativo. Formación básica relacionada con la formación docente.,"● Disponer de un ordenador con conexión a Internet.
● Saber navegar por internet, buscar información y descargar y subir archivos
● Conocimientos básicos sobre manejo del ordenador: abrir y cerrar programas, guardar archivos, enviar correos electrónicos con archivos adjuntos, añadir mensajes en foros...",Itinerarios formativos/ASESORÍA,procedimiento-administrativo,https://moodle.catedu.es/course/view.php?id=174,https://moodle.catedu.es/pluginfile.php/22164/course/overviewfiles/img1619411s.jpg,10.0,Este titulo forma parte del Itinerario a extinguir en 2º CV del 2022-23,1.0,2022-23,A1,A1,,A1,A1,,,,,,,,,,,,,,,,,,
False,,EL CENTRO EDUCATIVO Y LA FORMACIÓN DEL PROFESORADO - IE,,1. Ornagización y funcionamiento de un centro educativo: lugar que ocupa la formación y su coordinador. Los planes de formación de centro. Los coordinadores de formación de los centros. 2. Funciones del Coordinador de Formación. 3. Coordinación con la Red del Profesorado y con otros sujetos e instituciones que intervienen en el centro educativo. 4. Planes de formación en centros. Esta actividad se considera equivalente al módulo 5 del bloque específico del itinerario para coordinador de formación en centros educativos. Resolución 19/1/2017 itinerarios formativos de asesores de formación de profesorado no universitario y coordinadores de formación de centros educativos. Módulo 5.- El centro educativo y la formación del profesorado.,"● Disponer de un ordenador con conexión a Internet.
● Saber navegar por internet, buscar información y descargar y subir archivos
● Conocimientos básicos sobre manejo del ordenador: abrir y cerrar programas, guardar archivos, enviar correos electrónicos con archivos adjuntos, añadir mensajes en foros...",Itinerarios formativos/COFO,m5-cofo-el-centro-educativo-y-la-formacion-del-pr,https://moodle.catedu.es/course/view.php?id=171,https://moodle.catedu.es/pluginfile.php/22086/course/overviewfiles/800px-Colegio_Joaqu%C3%ADn_Costa_%288653053610%29.jpg,5.0,Este titulo forma parte del Itinerario a extinguir en 2º CV del 2022-23,1.0,2022-23,A2,A2,,A2,A2,,,,,,,,,,,,,,,,,,
False,,LOS CENTROS DE FORMACIÓN DEL PROFESORADO - IE,,1. Los Centros de formación del profesorado. La red de formación del profesorado. Tipos de centros de formación del profesorado. Funcionamiento de los centros del profesorado. Origen y evolución de los centros del profesorado. 2. Los asesores de formación. Funciones del asesor de formación. Coordinación con los sujetos e instituciones que intervienen en el centro educativo. Esta actividad se considera equivalente al módulo 5 del bloque específico del itinerario para asesor de la red de formación del profesorado. Resolución 19/1/2017 itinerarios formativos de asesores de formación de profesorado no universitario y coordinadores de formación de centros educativos. Módulo 5.- Los centros de formación del profesorado.,"● Disponer de un ordenador con conexión a Internet.
● Saber navegar por internet, buscar información y descargar y subir archivos
● Conocimientos básicos sobre manejo del ordenador: abrir y cerrar programas, guardar archivos, enviar correos electrónicos con archivos adjuntos, añadir mensajes en foros...",Itinerarios formativos/ASESORÍA,modulo-5-asesores,https://moodle.catedu.es/course/view.php?id=169,https://moodle.catedu.es/pluginfile.php/20953/course/overviewfiles/EE2ekkTX4AILwi3.jpg,5.0,Este titulo forma parte del Itinerario a extinguir en 2º CV del 2022-23,1.0,2022-23,A2,A2,,A2,A2,,,,,,,,,,,,,,,,,,
False,,HERRAMIENTAS Y HABILIDADES SOCIALES - IE,,1 Habilidades comunicativas y de escucha activa. Axiomas básicos de la comunicación. Lenguaje verbal. Precisión del lenguaje para hacer llegar el mensaje. Saber escuchar. La escucha activa. Lenguaje no verbal. 2 Resolución de conflictos. Importancia de la forma en que se resuelven los conflictos. Actitudes ante el conflicto. Tú ganas yo gano. Gestión positiva del conflicto. Percepciones. Identificar intereses. 3 Gestión de equipos humanos en un centro escolar. Mejorar el trabajo en grupo. El grupo y la tarea. Las relaciones en los equipos docentes: escuchar- comprender- valorar. Liderazgo. Esta actividad se considera equivalente al módulo 6 del bloque específico del itinerario para coordinador de formación en centros educativos. Resolución 19/1/2017 itinerarios formativos de asesores de formación de profesorado no universitario y coordinadores de formación de centros educativos. Módulo 6.- Herramientas y habilidades sociales.,"● Disponer de un ordenador con conexión a Internet.
● Saber navegar por internet, buscar información y descargar y subir archivos
● Conocimientos básicos sobre manejo del ordenador: abrir y cerrar programas, guardar archivos, enviar correos electrónicos con archivos adjuntos, añadir mensajes en foros...",Itinerarios formativos/COFO,m6-cofos,https://moodle.catedu.es/course/view.php?id=172,https://moodle.catedu.es/pluginfile.php/22123/course/overviewfiles/c3c303b4a7d390d719a04a597762-1431771.jpg,10.0,Descripción de HERRAMIENTAS Y HABILIDADES SOCIALES - IE,1.0,2022-23,A2,A2,,A2,A2,,,,,,,,,,,,,,,,,,
False,,INTELIGENCIA EMOCIONAL Y PSICOLOGÍA POSITIVA - IE,"Desarrollar la habilidad de controlar las propias emociones.
Prevenir los efectos perjudiciales de las emociones negativas
Desarrollar la habilidad para generar emociones positivas
Desarrollar una mayor competencia emocional",1. Gestión de equipos humanos en un centro escolar. 1.1 Mejorar el trabajo en grupo: El grupo y la tarea. 1.2 Liderazgo. 1.3 Principios para un modelo de asesoramiento en los centros educativos. 2. Resolución de conflictos. 2.1 Importancia de la forma en que se resuelven los conflictos: Actitudes ante el conflicto. 2.2 Gestión positiva del conflicto. 2.3 La comunicación como clave para la resolución de conflictos. Esta actividad se considera equivalente al módulo 6 del bloque específico del itinerario para asesor de la red de formación del profesorado. Resolución 19/1/2017 itinerarios formativos de asesores de formación de profesorado no universitario y coordinadores de formación de centros educativos. Módulo 6.- Inteligencia emocional y psicología positiva en la función docente.,"● Disponer de un ordenador con conexión a Internet.
● Saber navegar por internet, buscar información y descargar y subir archivos
● Conocimientos básicos sobre manejo del ordenador: abrir y cerrar programas, guardar archivos, enviar correos electrónicos con archivos adjuntos, añadir mensajes en foros...",Itinerarios formativos/ASESORÍA,https://libros.catedu.es/books/inteligencia-emocional-y-psicologia-positiva,https://moodle.catedu.es/course/view.php?id=178,https://moodle.catedu.es/pluginfile.php/23128/course/overviewfiles/sunset_ibiza_mediterrean_island_sun_sea_orange_reflection-1203135.jpg,10.0,Este titulo forma parte del Itinerario a extinguir en 2º CV del 2022-23,1.0,2022-23,A2,A2,,A2,A2,,,,,,,,,,,,,,,,,,
False,,COMUNICACIÓN EFICAZ Y ORATORIA - IE,"Comunicar de manera efectiva ante una audiencia. 
Conocer los conceptos y elementos que engloba la comunicación.",1. Conceptos básicos sobre lenguaje y comunicación. 2. El receptor. 3. Inventio- dispositio y elocutio. 4. Memoria. 5. Actio. Aspectos vocales. Aspectos no vocales.. Esta actividad se considera equivalente al módulo 7 del bloque específico del itinerario para asesor de la red de formación del profesorado. Resolución 19/1/2017 itinerarios formativos de asesores de formación de profesorado no universitario y coordinadores de formación de centros educativos. Módulo 7.- Oratoria y comunicación oral. Comunicación eficaz.,"● Disponer de un ordenador con conexión a Internet.
● Saber navegar por internet, buscar información y descargar y subir archivos
● Conocimientos básicos sobre manejo del ordenador: abrir y cerrar programas, guardar archivos, enviar correos electrónicos con archivos adjuntos, añadir mensajes en foros...",Itinerarios formativos/ASESORÍA,modulo7-asesores,https://moodle.catedu.es/course/view.php?id=179,https://moodle.catedu.es/pluginfile.php/23327/course/overviewfiles/773px-3_Estancia_del_Sello_%28Escuela_de_Atenas%29.jpg,10.0,Este titulo forma parte del Itinerario a extinguir en 2º CV del 2022-23,1.0,2022-23,A2,A2,,A2,A2,,,,,,,,,,,,,,,,,,
True,1100.0,TRABAJO FIN DE ITINERARIO ASESORIA - IE,,Información sobre el TFIEl sistema aragonés de formación permanente del profesorado Realidad educativa Acompañamiento y seguimiento de las actividades formativasReflexión personal Entrega del TFI para asesorías.,"● Disponer de un ordenador con conexión a Internet.
● Saber navegar por internet, buscar información y descargar y subir archivos
● Conocimientos básicos sobre manejo del ordenador: abrir y cerrar programas, guardar archivos, enviar correos electrónicos con archivos adjuntos, añadir mensajes en foros...",Itinerarios formativos/ASESORÍA,,https://moodle.catedu.es/course/view.php?id=422,https://moodle.catedu.es/pluginfile.php/70763/course/overviewfiles/business-3224643_1920.jpg,30.0,Este titulo forma parte del Itinerario a extinguir en 2º CV del 2022-23,1.0,2022-23,A2,A2,,A2,A2,,,,,,,,,,,,,,,,,,
True,1110.0,TRABAJO FIN DE ITINERARIO COFO - IE,,Información sobre el TFIP Propuestas para impulsar la participación del profesorado en las actividades de formación de su centro Estrategias de coordinación con el Centro de Profesorado para la mejora de la formación de los docentes de su centro y propuesta de actividades concretasIndicadores de logro. Reflexión personal sobre qué puede aportar el solicitante a la formación de los docentes de su centro desde su experiencia personal y docente Entrega del TFI de COFO,"● Disponer de un ordenador con conexión a Internet.
● Saber navegar por internet, buscar información y descargar y subir archivos
● Conocimientos básicos sobre manejo del ordenador: abrir y cerrar programas, guardar archivos, enviar correos electrónicos con archivos adjuntos, añadir mensajes en foros...",Itinerarios formativos/COFO,,https://moodle.catedu.es/course/view.php?id=421,https://moodle.catedu.es/pluginfile.php/70760/course/overviewfiles/administration_analytics_business_commerce_data_desk_documents_finance-911763.jpg,30.0,Este titulo forma parte del Itinerario a extinguir en 2º CV del 2022-23,1.0,2022-23,A2,A2,,A2,A2,,,,,,,,,,,,,,,,,,
True,1200.0,MÓDULO 0 OBLIGATORIO. COMUNES (FEEPA): Marco institucional - Intervención en el aula - SGC,"• Diseñar, intervenir y evaluar programas de formación reglada y no reglada dirigidos a la población adulta, aplicando métodos de enseñanza-aprendizaje que favorezcan el desarrollo de la personalidad, el fortalecimiento de la autoestima, aumenten las oportunidades laborales y permitan a las personas seguir aprendiendo.",,"● Disponer de un ordenador con conexión a Internet.
● Saber navegar por internet, buscar información y descargar y subir archivos
● Conocimientos básicos sobre manejo del ordenador: abrir y cerrar programas, guardar archivos, enviar correos electrónicos con archivos adjuntos, añadir mensajes en foros...",Formación de entrada para educación de personas adultas,formacion-de-entrada-en-educacion-de-personas-adultas,https://moodle.catedu.es/course/view.php?id=944,https://moodle.catedu.es/pluginfile.php/118133/course/overviewfiles/adult-3352996_1920.jpg,30.0,,1.0,2022-23,A2,A2,,A2,A2,,,,,,,,,,,,,,,,,,
True,1210.0,MÓDULO 1 OPTATIVO (FEEPA): Enseñanzas FIPA y ESPA,"Conocer los aspectos básicos de la Educación Intercultural como forma de inclusión del alumnado inmigrante en la Educación de Personas Adultas.
•    Aprender a utilizar la  diversidad cultural como un recurso educativo.
•    Explorar actividades didácticas interculturales.
•    Utilizar pruebas de nivel de español para personas adultas inmigrantes.
•    Analizar métodos de alfabetización de adultos.
•    Conocer los conceptos claves de la didáctica intercultural de la enseñanza del español como segunda lengua.
•    Utilizar el enfoque comunicativo en la enseñanza del español.
•    Presentar recursos didácticos para enseñar español desde una perspectiva intercultural e inclusiva.
•    Utilizar el aprendizaje cooperativo en aula del español de personas adultas.
",,"● Disponer de un ordenador con conexión a Internet.
● Saber navegar por internet, buscar información y descargar y subir archivos
● Conocimientos básicos sobre manejo del ordenador: abrir y cerrar programas, guardar archivos, enviar correos electrónicos con archivos adjuntos, añadir mensajes en foros...",Formación de entrada para educación de personas adultas,formacion-de-entrada-en-educacion-de-personas-adultas,https://moodle.catedu.es/course/view.php?id=946,https://moodle.catedu.es/pluginfile.php/118160/course/overviewfiles/antenna-cw-cj_nFa14-unsplash.jpg,10.0,,1.0,2022-23,A2,A2,,A2,A2,,,,,,,,,,,,,,,,,,
True,1220.0,MÓDULO 2 OPTATIVO (FEEPA): Competencias clave - Certificados de Profesionalidad y acceso a FP,"• Diseñar, intervenir y evaluar programas de formación reglada y no reglada dirigidos a la población adulta, aplicando métodos de enseñanza-aprendizaje que favorezcan el desarrollo de la personalidad, el fortalecimiento de la autoestima, aumenten las oportunidades laborales y permitan a las personas seguir aprendiendo.",,"● Disponer de un ordenador con conexión a Internet.
● Saber navegar por internet, buscar información y descargar y subir archivos
● Conocimientos básicos sobre manejo del ordenador: abrir y cerrar programas, guardar archivos, enviar correos electrónicos con archivos adjuntos, añadir mensajes en foros...",Formación de entrada para educación de personas adultas,formacion-de-entrada-en-educacion-de-personas-adultas,https://moodle.catedu.es/course/view.php?id=947,https://moodle.catedu.es/pluginfile.php/118162/course/overviewfiles/jeswin-thomas-1DXrIobqcdk-unsplash.jpg,10.0,,1.0,2022-23,A2,A2,,A2,A2,,,,,,,,,,,,,,,,,,
True,1230.0,MÓDULO 3 OPTATIVO (FEEPA): Español como lengua nueva,"• Diseñar, intervenir y evaluar programas de formación reglada y no reglada dirigidos a la población adulta, aplicando métodos de enseñanza-aprendizaje que favorezcan el desarrollo de la personalidad, el fortalecimiento de la autoestima, aumenten las oportunidades laborales y permitan a las personas seguir aprendiendo.",,"● Disponer de un ordenador con conexión a Internet.
● Saber navegar por internet, buscar información y descargar y subir archivos
● Conocimientos básicos sobre manejo del ordenador: abrir y cerrar programas, guardar archivos, enviar correos electrónicos con archivos adjuntos, añadir mensajes en foros...",Formación de entrada para educación de personas adultas,formacion-de-entrada-en-educacion-de-personas-adultas,https://moodle.catedu.es/course/view.php?id=948,https://moodle.catedu.es/pluginfile.php/118163/course/overviewfiles/muhammad-haikal-sjukri-DZ0WPLmvK_c-unsplash.jpg,10.0,,1.0,2022-23,A2,A2,,A2,A2,,,,,,,,,,,,,,,,,,
True,1240.0,MÓDULO 4 OPTATIVO (FEEPA): Enseñanzas de PEE,"• Diseñar, intervenir y evaluar programas de formación reglada y no reglada dirigidos a la población adulta, aplicando métodos de enseñanza-aprendizaje que favorezcan el desarrollo de la personalidad, el fortalecimiento de la autoestima, aumenten las oportunidades laborales y permitan a las personas seguir aprendiendo.",,"● Disponer de un ordenador con conexión a Internet.
● Saber navegar por internet, buscar información y descargar y subir archivos
● Conocimientos básicos sobre manejo del ordenador: abrir y cerrar programas, guardar archivos, enviar correos electrónicos con archivos adjuntos, añadir mensajes en foros...",Formación de entrada para educación de personas adultas,formacion-de-entrada-en-educacion-de-personas-adultas,https://moodle.catedu.es/course/view.php?id=949,https://moodle.catedu.es/pluginfile.php/118165/course/overviewfiles/nghia-le-V3DokM1NQcs-unsplash.jpg,10.0,,1.0,2022-23,A2,A2,,A2,A2,,,,,,,,,,,,,,,,,,
True,1250.0,MÓDULO 5 OPTATIVO (FEEPA): Enseñanzas a distancia,"• Diseñar, intervenir y evaluar programas de formación reglada y no reglada dirigidos a la población adulta, aplicando métodos de enseñanza-aprendizaje que favorezcan el desarrollo de la personalidad, el fortalecimiento de la autoestima, aumenten las oportunidades laborales y permitan a las personas seguir aprendiendo.",,"● Disponer de un ordenador con conexión a Internet.
● Saber navegar por internet, buscar información y descargar y subir archivos
● Conocimientos básicos sobre manejo del ordenador: abrir y cerrar programas, guardar archivos, enviar correos electrónicos con archivos adjuntos, añadir mensajes en foros...",Formación de entrada para educación de personas adultas,formacion-de-entrada-en-educacion-de-personas-adultas,https://moodle.catedu.es/course/view.php?id=950,https://moodle.catedu.es/pluginfile.php/118166/course/overviewfiles/brooke-cagle-g1Kr4Ozfoac-unsplash.jpg,10.0,,1.0,2022-23,A2,A2,,A2,A2,,,,,,,,,,,,,,,,,,
True,1260.0,MÓDULO 6 OPTATIVO (FEPA): Aulas Penitenciarias,"• Diseñar, intervenir y evaluar programas de formación reglada y no reglada dirigidos a la población adulta, aplicando métodos de enseñanza-aprendizaje que favorezcan el desarrollo de la personalidad, el fortalecimiento de la autoestima, aumenten las oportunidades laborales y permitan a las personas seguir aprendiendo.",,"● Disponer de un ordenador con conexión a Internet.
● Saber navegar por internet, buscar información y descargar y subir archivos
● Conocimientos básicos sobre manejo del ordenador: abrir y cerrar programas, guardar archivos, enviar correos electrónicos con archivos adjuntos, añadir mensajes en foros...",Formación de entrada para educación de personas adultas,formacion-de-entrada-en-educacion-de-personas-adultas,https://moodle.catedu.es/course/view.php?id=928,https://moodle.catedu.es/pluginfile.php/116400/course/overviewfiles/ocv-photo-5LwAK7HGSnM-unsplash.jpg,10.0,,1.0,2022-23,A2,A2,,A2,A2,,,,,,,,,,,,,,,,,,
True,4100.0,PROTECCIÓN DE DATOS EN EL ÁMBITO EDUCATIVO,"•        Conocer de forma básica el uso y manejo de los datos personales en un entorno educativo, en especial los referidos a menores",1. CONTEXTO 2. LA RAZÓN DE SER DE LA PROTECCIÓN DE DATOS 3. DATOS PERSONALES Y TRATAMIENTO DE DATOS PERSONALES 4. RESPONSABLES DEL TRATAMIENTO Y ENCARGADOS DEL TRATAMIENTO 4.1. A EFECTOS PRÁCTICOS: ¿Quiénes son los responsables de los tratamientos del ámbito educativo? 4.2. ¿ESTOY TRATANDO LOS DATOS PERSONALES CONFORME A LA NORMATIVA? 5. PRINCIPIOS QUE HAN DE REGIR TODO TRATAMIENTO 6. CAUSAS DE LICITUD DE LOS TRATAMIENTOS 7. EL CUMPLIMIENTO DE UNA MISIÓN EN INTERÉS PÚBLICO 8. EL CONSENTIMIENTO 9. PROTECCIÓN DE DATOS DE LOS MENORES EN INTERNET 10. UN EJEMPLO DE TEXTO INFORMATIVO ADAPTADO –MEDIANTE EXPLICACIONES EN CURSIVA -A LOS MENORES DE EDAD CAPACES DE CONSENTIR Esta actividad se considera equivalente al módulo 1 del bloque común a los itinerarios formativos de las personas coordinadoras de formación coordinadoras de formación para el uso de las tecnologías en los aprendizajes en los centros educativos no universitarios y asesorías de formación del profesorado en los Centros de Profesorado territoriales y específicos. Resolución de 22 de diciembre de 2020 del Director General de Innovación y Formación Profesional sobre itinerarios formativos de las personas coordinadoras de formación en los centros educativos no universitarios de las asesorías de formación del profesorado en los Centros de Profesorado y creación de los itinerarios formativos de personas coordinadoras de formación para el uso de las tecnologías en los aprendizajes personas coordinadoras de convivencia e igualdad y personas coordinadoras del itinerario bilingüe en los centros educativos no universitarios. Módulo 1: Protección de datos en el ámbito educativo.,"● Disponer de un ordenador con conexión a Internet.
● Saber navegar por internet, buscar información y descargar y subir archivos
● Conocimientos básicos sobre manejo del ordenador: abrir y cerrar programas, guardar archivos, enviar correos electrónicos con archivos adjuntos, añadir mensajes en foros...",Itinerarios formativos/COFO/COFOTAP/ASESORÍA,,https://moodle.catedu.es/course/view.php?id=1044,https://moodle.catedu.es/pluginfile.php/126602/course/overviewfiles/jan-antonin-kolar-lRoX0shwjUQ-unsplash%20%282%29.jpg,5.0,,1.0,2022-23,A2,A2,A1,A2,A2,,,A1,A1,,,,,,,,,,,A1,,A1,
True,4200.0,MARCO LEGISLATIVO SOBRE EDUCACIÓN,,Unidad 1: Marco básico legislativo sobre Educación. Unidad 2. Estructura y organigrama del Departamento de Educación y de los Servicios Provinciales. Unidad 3. Sistema aragonés de formación del profesorado. Plan Marco y Decreto de formación vigente. Línea I. Formación para la mejora de las prácticas educativas. Línea II. Formación para el impulso de las metodologías activas- la innovación educativa y la investigación. Línea III. Formación para el apoyo a una escuela abierta y participativa. Línea IV. Formación para el perfeccionamiento continuo y capacitación profesional docente. El Plan Anual de Formación del Profesorado. Unidad 4. Normativa- estructura y funcionamiento de la red de formación del profesorado. Unidad 5. Actividades institucionales de formación. Otras modalidades formativas de formación reconocidas por el Servicio de Formación del Profesorado. Entidades colaboradoras. Planes de formación en Centros. Tipos de actividades formativas promovidas por la Administración Educativa. Plan de Formación. Unidad 6. Certificación y registro de las actividades formativas. Esta actividad se considera equivalente al módulo 2 del bloque común a los itinerarios formativos de las personas coordinadoras de formación coordinadoras de formación para el uso de las tecnologías en los aprendizajes en los centros educativos no universitarios y asesorías de formación del profesorado en los Centros de Profesorado territoriales y específicos. Resolución de 22 de diciembre de 2020 del Director General de Innovación y Formación Profesional sobre itinerarios formativos de las personas coordinadoras de formación en los centros educativos no universitarios de las asesorías de formación del profesorado en los Centros de Profesorado y creación de los itinerarios formativos de personas coordinadoras de formación para el uso de las tecnologías en los aprendizajes personas coordinadoras de convivencia e igualdad y personas coordinadoras del itinerario bilingüe en los centros educativos no universitarios. Módulo 2: Marco básico legislativo sobre Educación.,"● Disponer de un ordenador con conexión a Internet.
● Saber navegar por internet, buscar información y descargar y subir archivos
● Conocimientos básicos sobre manejo del ordenador: abrir y cerrar programas, guardar archivos, enviar correos electrónicos con archivos adjuntos, añadir mensajes en foros...",Itinerarios formativos/COFO/COFOTAP/ASESORÍA,modulo-1-marco-basico-legislativo,https://moodle.catedu.es/course/view.php?id=160,https://moodle.catedu.es/pluginfile.php/19968/course/overviewfiles/law-1063249_1920.jpg,10.0,,1.0,2022-23,A2,A2,,A2,A2,,,,,,,,,,,,,,,,,,
True,4300.0,SOPORTES INFORMÁTICOS PARA LA FORMACIÓN DEL PROFESORADO,"Conocer las diferentes herramientas TIC que tiene disponible el asesor de formación o coordinador de formación (COFO) para realizar las actividades.
   El curso NO PRETENDE ser un tutorial de todas las herramientas, pero sí que destaca las características para que el asesor o COFO elija la que le conviene según sus capacidades y según la actividad.
",1. Soportes: Marco legislativo- contenidos dinámicos y cerrados. Diseño- actividad e interacción. 2. Diseño: WORD- pdfs- letras- Google Drive- Scribus- Genially- Generador de textos- imágenes y Qrs. 3. Divulgación: Twitter- Facebook. 4. Contenidos y participación: CMS y LMS. 5. Interacción: Streaming- Twitter- Formularios- Chatbro. Esta actividad se considera equivalente al módulo 3 del bloque común a los itinerarios formativos de las personas coordinadoras de formación coordinadoras de formación para el uso de las tecnologías en los aprendizajes en los centros educativos no universitarios y asesorías de formación del profesorado en los Centros de Profesorado territoriales y específicos. Resolución de 22 de diciembre de 2020 del Director General de Innovación y Formación Profesional sobre itinerarios formativos de las personas coordinadoras de formación en los centros educativos no universitarios de las asesorías de formación del profesorado en los Centros de Profesorado y creación de los itinerarios formativos de personas coordinadoras de formación para el uso de las tecnologías en los aprendizajes personas coordinadoras de convivencia e igualdad y personas coordinadoras del itinerario bilingüe en los centros educativos no universitarios. Módulo 3: Soportes informáticos para la formación del profesorado.,"● Disponer de un ordenador con conexión a Internet.
● Saber navegar por internet, buscar información y descargar y subir archivos
● Conocimientos básicos sobre manejo del ordenador: abrir y cerrar programas, guardar archivos, enviar correos electrónicos con archivos adjuntos, añadir mensajes en foros...",Itinerarios formativos/COFO/COFOTAP/ASESORÍA,soportes-informaticos-profesorado,https://moodle.catedu.es/course/view.php?id=173,https://moodle.catedu.es/pluginfile.php/22150/course/overviewfiles/matrix-2953869_1920.jpg,10.0,,1.0,2022-23,B1,B1,B1,B1,B1,A1,A1,A1,A1,,,,,,,,,,,,,,
True,4400.0,METODOLOGÍAS DE APRENDIZAJE. DIDÁCTICA Y EVALUACIÓN,,Módulo 1. APRENDIZAJE BASADO EN EVIDENCIAS CIENTÍFICAS Módulo 2. EL DOCENTE COMO DISEÑADOR DE TAREAS DE APRENDIZAJE Módulo 3. EDUCACIÓN STEAM Módulo 4. METODOLOGÍAS DEL APRENDIZAJE Módulo 5. EVALUACIÓN Módulo 6. MARCO DE ACCIÓN EN EDUCACIÓN Esta actividad se considera equivalente al módulo 4 del bloque común a los itinerarios formativos de las personas coordinadoras de formación coordinadoras de formación para el uso de las tecnologías en los aprendizajes en los centros educativos no universitarios y asesorías de formación del profesorado en los Centros de Profesorado territoriales y específicos. Resolución de 22 de diciembre de 2020 del Director General de Innovación y Formación Profesional sobre itinerarios formativos de las personas coordinadoras de formación en los centros educativos no universitarios de las asesorías de formación del profesorado en los Centros de Profesorado y creación de los itinerarios formativos de personas coordinadoras de formación para el uso de las tecnologías en los aprendizajes personas coordinadoras de convivencia e igualdad y personas coordinadoras del itinerario bilingüe en los centros educativos no universitarios. Módulo 4: Metodologías de aprendizaje. Didáctica y Evaluación.,"● Disponer de un ordenador con conexión a Internet.
● Saber navegar por internet, buscar información y descargar y subir archivos
● Conocimientos básicos sobre manejo del ordenador: abrir y cerrar programas, guardar archivos, enviar correos electrónicos con archivos adjuntos, añadir mensajes en foros...",Itinerarios formativos/COFO/COFOTAP/ASESORÍA,metodologias-activas-didactica-y-evaluacion,https://moodle.catedu.es/course/view.php?id=1050,https://moodle.catedu.es/pluginfile.php/127992/course/overviewfiles/science-1182713_1920.jpg,10.0,,1.0,2022-23,A2,A2,,A2,A2,,A2,,B1,,A1,,,,,,,A1,,,A2,,A1
True,6100.0,EL PROCEDIMIENTO ADMINISTRATIVO,"Dar respuesta formativa on line al módulo del itinerario formativo
Facilitar la obtención para el profesorado de conocimientos básicos en relación con los derechos que le asisten como profesional y como ciudadan@ en su relación con las Administraciones Públicas. 
",Introducción: marco normativo. Novedades: la e-administración. La relación entre la Administración y la ciudadanía: derechos del ciudadan@. El procedimiento: inicio- tramitación- finalización. La notificación de actos y resoluciones administrativas. La notificación electrónica. Otras cuestiones: silencio administrativo- nulidad y anulabilidad- revisión de oficio- revocación y rectificación. Los recursos en la vía administrativa. Esta actividad se considera equivalente al módulo 5 del bloque específico del itinerario formativo de asesorías de formación del profesorado no universitario en los Centros de Profesorado territoriales y específicos. Resolución de 22 de diciembre de 2020 del Director General de Innovación y Formación Profesional sobre itinerarios formativos de las personas coordinadoras de formación en los centros educativos no universitarios de las asesorías de formación del profesorado en los Centros de Profesorado y creación de los itinerarios formativos de personas coordinadoras de formación para el uso de las tecnologías en los aprendizajes personas coordinadoras de convivencia e igualdad y personas coordinadoras del itinerario bilingüe en los centros educativos no universitarios. Módulo: 5 EL PROCEDIMIENTO ADMINISTRATIVO,"● Disponer de un ordenador con conexión a Internet.
● Saber navegar por internet, buscar información y descargar y subir archivos
● Conocimientos básicos sobre manejo del ordenador: abrir y cerrar programas, guardar archivos, enviar correos electrónicos con archivos adjuntos, añadir mensajes en foros...",Itinerarios formativos/ASESORÍA,procedimiento-administrativo,https://moodle.catedu.es/course/view.php?id=174,https://moodle.catedu.es/pluginfile.php/22164/course/overviewfiles/img1619411s.jpg,10.0,,1.0,2022-23,A1,A1,,A1,A1,,,,,,,,,,,,,,,,,,
